tv 	 segmentId 	 segmentName 	 notMatch 	 num 	 segmentSortOrder 	 statisticsType 	 startTime 	 name 	 place 	 team2 	 regionId 	 team1 	 sortOrder 	 team1Id 	 namePrefix 	 sportId 	 id 	 team2Id 	 liveHalf 	 sportName 	 
none 	 72788 	 Киберспорт. Dota 2. Dota Pro Circuit. Северная Америка. Нижний дивизион. Из 3-х карт 	 none 	 59724 	 1++-O++-V+54S&zsyQx+++3+5MO+++S+5MP-SD4+FlI 	 BetRadar 	 1641758400 	  	 notActive 	 Team DogChamp 	 none 	 Team Magnus  	 2272CZA-tXhR 	 520245 	 none 	 29086 	 31865693 	 418922 	 none 	 Киберспорт 	 
none 	 72787 	 Киберспорт. Dota 2. Dota Pro Circuit. Северная Америка. Верхний дивизион. Из 3-х карт 	 none 	 59687 	 1++-O++-V+54S&zsyQx+++3+5MO+++S+5MP-SCw+FlH 	 BetRadar 	 1641412800 	  	 line 	 Black N Yellow 	 none 	 Wildcard Gaming 	 20j2CYb-tXgs 	 359549 	 none 	 29086 	 31865656 	 417329 	 none 	 Киберспорт 	 
none 	 72787 	 Киберспорт. Dota 2. Dota Pro Circuit. Северная Америка. Верхний дивизион. Из 3-х карт 	 none 	 59691 	 1++-O++-V+54S&zsyQx+++3+5MO+++S+5MP-SCw+FlH 	 BetRadar 	 1641682800 	  	 notActive 	 Undying 	 none 	 Quincy Crew 	 21pMCYf-tXgw 	 357165 	 none 	 29086 	 31865660 	 417327 	 none 	 Киберспорт 	 
none 	 72784 	 Киберспорт. Dota 2. Dota Pro Circuit. Юго-Восточная Азия. Нижний дивизион. Из 3-х карт 	 none 	 59673 	 1++-O++-V+54S&zsyQx+++3+5MO+++S+5MP-SCS+FlE 	 BetRadar 	 1641618000 	  	 notActive 	 InterActive Philippines 	 none 	 Talon 	 21YUCYN-tXge 	 522124 	 none 	 29086 	 31865642 	 522123 	 none 	 Киберспорт 	 
none 	 72778 	 Киберспорт. Dota 2. Dota Pro Circuit. Восточная Европа. Верхний дивизион. Из 3-х карт 	 none 	 59653 	 1++-O++-V+54S&zsyQx+++3+5MO+++S+5MP-SBW+Fl8 	 BetRadar 	 1641747600 	  	 notActive 	 Natus Vincere 	 none 	 Team Spirit 	 224ECY3-tXgK 	 358229 	 none 	 29086 	 31865622 	 358854 	 none 	 Киберспорт 	 
none 	 36950 	 Баскетбол. Япония. B-League 	 none 	 54075 	 1+++S+++1+++1&zxyYx++0o+1M0+++8+7-K 	 BetRadar 	 1641110700 	  	 line 	 Шибуя Сан-Рокетс 	 392 	 Ниигата Альбирекс 	 2-UNBAv-u2kh 	 435628 	 none 	 3 	 32001069 	 434865 	 none 	 Баскетбол 	 
none 	 72787 	 Киберспорт. Dota 2. Dota Pro Circuit. Северная Америка. Верхний дивизион. Из 3-х карт 	 none 	 59693 	 1++-O++-V+54S&zsyQx+++3+5MO+++S+5MP-SCw+FlH 	 BetRadar 	 1641672000 	  	 notActive 	 4 Zoomers 	 none 	 Evil Geniuses 	 21mYCYh-tXgy 	 357166 	 none 	 29086 	 31865662 	 357810 	 none 	 Киберспорт 	 
none 	 56714 	 Футбол. Россия. Премьер-Лига. Лучший бомбардир 	 True 	 211 	 1+++8+++-+++-|++-Xy++2S+0uS-QP++Bq8 	 BetRadar 	 1645891200 	  	 line 	 none 	 643 	 Промес К 	 2IxI+1H-iwaU 	 227445 	 4 гола 	 1 	 29084064 	 0 	 none 	 Футбол 	 
none 	 56714 	 Футбол. Россия. Премьер-Лига. Лучший бомбардир 	 True 	 209 	 1+++8+++-+++-|++-Xy++2S+0uS-QP++Bq8 	 BetRadar 	 1645891200 	  	 line 	 none 	 643 	 Заболотный А 	 2IxI+1F-iwaS 	 243415 	 5 гола 	 1 	 29084062 	 0 	 none 	 Футбол 	 
none 	 56714 	 Футбол. Россия. Премьер-Лига. Лучший бомбардир 	 True 	 207 	 1+++8+++-+++-|++-Xy++2S+0uS-QP++Bq8 	 BetRadar 	 1645891200 	  	 line 	 none 	 643 	 Соболев А 	 2IxI+1D-iwaP 	 258529 	 4 гола 	 1 	 29084059 	 0 	 none 	 Футбол 	 
